1293085588	20250308	202503	2025	2025.1863	MED	MEDIA						MED			BUS	BUSINESS						BUS			0	010	010	01	1	0.0	5	1	5	0.5859375	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20260308111500	https://www.businessinsider.com/gen-z-doomscrolling-tracking-film-podcasts-books-analog-2026-3
1293085589	20250308	202503	2025	2025.1863	SPY	INTELLIGENCE						SPY			IRN	IRAN	IRN								1	010	010	01	1	0.0	3	1	3	-0.26737967914439	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20260308111500	https://www.ynetnews.com/article/skjvd2qkbg
1293085590	20250308	202503	2025	2025.1863	SPY	INTELLIGENCE						SPY			IRN	ISFAHAN	IRN								1	138	138	13	3	-7.0	3	1	3	-0.26737967914439	4	Isfahan, Esfahan, Iran	IR	IR28	40941	32.6597	51.6714	6013426	4	Isfahan, Esfahan, Iran	IR	IR28	40941	32.6597	51.6714	6013426	4	Isfahan, Esfahan, Iran	IR	IR28	40941	32.6597	51.6714	6013426	20260308111500	https://www.ynetnews.com/article/skjvd2qkbg
1293085591	20260206	202602	2026	2026.0986	GOV	PRESIDENT						GOV			CHE	SWITZERLAND	CHE								1	040	040	04	1	1.0	1	1	1	-1.8796992481203	1	Oman	MU	MU		21	57	MU	1	Oman	MU	MU		21	57	MU	1	Oman	MU	MU		21	57	MU	20260308111500	https://www.hawaiitribune-herald.com/2026/03/08/opinion/nuke-diplomacy-a-dud-nows-the-time-for-action/
1293085592	20260206	202602	2026	2026.0986	GOV	PRESIDENT						GOV			CHE	SWITZERLAND	CHE								1	040	040	04	1	1.0	2	1	2	-1.8796992481203	1	Oman	MU	MU		21	57	MU	1	Switzerland	SZ	SZ		47	8	SZ	1	Oman	MU	MU		21	57	MU	20260308111500	https://www.hawaiitribune-herald.com/2026/03/08/opinion/nuke-diplomacy-a-dud-nows-the-time-for-action/
1293085593	20260301	202603	2026	2026.1671	FRA	FRENCH	FRA								CYP	CYPRUS	CYP								0	036	036	03	1	4.0	2	1	2	-4.94001411432604	1	Cyprus	CY	CY		35	33	CY	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20260308111500	https://www.wsls.com/news/world/2026/03/08/the-latest-israel-hits-lebanon-and-tehran-oil-depot-as-desalination-plants-become-targets/
1293085594	20260301	202603	2026	2026.1671	FRA	FRENCH	FRA								CYP	CYPRUS	CYP								0	036	036	03	1	4.0	2	1	2	-4.94001411432604	1	France	FR	FR		46	2	FR	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20260308111500	https://www.wsls.com/news/world/2026/03/08/the-latest-israel-hits-lebanon-and-tehran-oil-depot-as-desalination-plants-become-targets/
1293085595	20260301	202603	2026	2026.1671	FRAGOV	FRENCH	FRA					GOV			CYP	CYPRUS	CYP								0	036	036	03	1	4.0	6	1	6	-4.94001411432604	1	France	FR	FR		46	2	FR	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20260308111500	https://www.wsls.com/news/world/2026/03/08/the-latest-israel-hits-lebanon-and-tehran-oil-depot-as-desalination-plants-become-targets/
1293085596	20260308	202603	2026	2026.1863											AFR	AFRICA	AFR								1	111	111	11	3	-2.0	4	1	4	-2.40384615384615	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20260308111500	https://www.ewn.co.za/2026/03/08/pothole-alliance-helen-zille-criticizes-kenny-kunene-s-road-maintenance-record
1293085597	20260308	202603	2026	2026.1863											BUS	ENTREPRENEUR						BUS			0	020	020	02	1	3.0	6	1	6	0.93603744149766	0								1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20260308111500	https://www.businesstimes.com.sg/singapore/how-ocbc-backs-women-entrepreneurs-financing-and-networking-support
1293085598	20260308	202603	2026	2026.1863											BUS	ENTREPRENEUR						BUS			0	025	025	02	1	-0.3	6	1	6	0.93603744149766	0								1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20260308111500	https://www.businesstimes.com.sg/singapore/how-ocbc-backs-women-entrepreneurs-financing-and-networking-support
1293085599	20260308	202603	2026	2026.1863											BUS	ENTREPRENEUR						BUS			1	042	042	04	1	1.9	3	1	3	1.8716577540107	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260308111500	https://www.voice-online.co.uk/entertainment/2026/03/08/defy-all-the-odds-start-with-yourself/
1293085600	20260308	202603	2026	2026.1863											BUS	CORPORATION						BUS			0	042	042	04	1	1.9	1	1	1	-0.69651741293533	0								4	Pacaja, ParáR, Brazil	BR	BR16	18585	-3.11667	-50.3333	-624422	4	Pacaja, ParáR, Brazil	BR	BR16	18585	-3.11667	-50.3333	-624422	20260308111500	https://www.scoop.co.nz/stories/WO2603/S00079/multinational-corporations-retired-offsets-from-verra-run-carbon-offsets-project-in-brazil-while-under-investigation.htm
1293085601	20260308	202603	2026	2026.1863											BUS	COMPANY						BUS			1	046	046	04	1	7.0	10	1	10	6.39134709931171	0								4	Stowmarket, Suffolk, United Kingdom	UK	UKN5	40132	52.1833	0.983333	-2608903	4	Stowmarket, Suffolk, United Kingdom	UK	UKN5	40132	52.1833	0.983333	-2608903	20260308111500	https://www.suffolknews.co.uk/business-news/women-mean-business-the-leaders-who-are-blazing-a-trail-9455519/
